"year","month","date","n_obv","n_hot","n_cold","min_temp","max_temp","min_actual","max_actual","mean_actual","sum_actual","min_forecast","max_forecast","mean_forecast","sum_forecast","mae","rmse","max_abs_error","mae_hot","mae_normal","mae_cold","rmse_hot","rmse_normal","rmse_cold"
"2010",3,2010-03-18,46,0,0,13.9,27.9,6513.38,10438.12,8904.53804347826,409608.75,6461.7,10389.09,8920.35695652174,410336.42,83.6406521739131,101.967155975962,305.09,NA,83.6406521739131,NA,NA,101.967155975962,NA
"2010",3,2010-03-19,48,0,0,14.3,30.7,6529.37,10831.75,9081.075,435891.6,6551.57,10776.54,9070.76770833333,435396.85,82.5464583333334,112.501077837429,307.98,NA,82.5464583333334,NA,NA,112.501077837429,NA
"2010",3,2010-03-20,47,0,0,16.8,30.4,6512.72,10045.89,8521.08638297872,400491.06,6546.21,9905.44,8567.43127659574,402669.27,90.0125531914892,113.575870480129,284.460000000001,NA,90.0125531914892,NA,NA,113.575870480129,NA
"2010",3,2010-03-21,47,0,0,16.7,34.7,6387.74,10102.26,8389.14425531915,394289.78,6318.33,10014.9,8413.08340425532,395414.92,98.0897872340427,125.368669403823,325.720000000001,NA,98.0897872340427,NA,NA,125.368669403823,NA
"2010",3,2010-03-22,39,0,0,19.7,23.7,6459.74,10311.76,8634.13230769231,336731.16,6417.4,10329.73,8647.07461538462,337235.91,91.1684615384616,108.662566019058,237.85,NA,91.1684615384616,NA,NA,108.662566019058,NA
"2010",3,2010-03-23,47,0,0,15.8,29.2,6550.8,10861.24,9096.79680851064,427549.45,6488.59,10825.18,9125.96914893617,428920.55,83.0540425531914,98.7743389451052,245.629999999999,NA,83.0540425531914,NA,NA,98.7743389451052,NA
"2010",3,2010-03-24,48,0,0,17.3,25.2,6598.81,10373.77,8962.81083333333,430214.92,6568.38,10411.04,8964.48,430295.04,64.6979166666667,88.4862711809013,226.730000000001,NA,64.6979166666667,NA,NA,88.4862711809013,NA
"2010",3,2010-03-25,47,0,0,16.3,26.5,6617.29,10597.84,9137.38425531915,429457.06,6582.12,10627.86,9136.33361702128,429407.68,58.9225531914892,86.7272366357193,310.59,NA,58.9225531914892,NA,NA,86.7272366357193,NA
"2010",3,2010-03-26,48,0,0,17.6,34.3,6626.67,11592.51,9418.03875,452065.86,6632.53,11539.26,9388.56916666667,450651.32,88.5554166666666,112.710724681963,370.93,NA,88.5554166666666,NA,NA,112.710724681963,NA
"2010",3,2010-03-27,45,0,0,21.7,26.5,6599.44,9799.45,8579.10955555555,386059.93,6508.77,9868.54,8577.35355555556,385980.91,97.5302222222222,119.892302078898,291.769999999999,NA,97.5302222222222,NA,NA,119.892302078898,NA
