"full_date","n_obv","min_temp","min_temp_time","max_temp","max_temp_time"
2010-11-13,52,16.2,"13/11/2010 3:00",31.4,"13/11/2010 11:30"
2010-11-14,48,20.6,"14/11/2010 2:30",31.3,"14/11/2010 11:30"
2010-11-15,52,17.8,"15/11/2010 17:30",22.8,"15/11/2010 0:00"
2010-11-16,54,16.4,"16/11/2010 4:30",21,"16/11/2010 12:00"
2010-11-17,56,15.3,"17/11/2010 23:30",20.7,"17/11/2010 15:00"
2010-11-18,47,13.4,"18/11/2010 3:30",24.6,"18/11/2010 10:30"
2010-11-19,54,15.8,"19/11/2010 23:30",19.2,"19/11/2010 0:30"
2010-11-20,48,10.2,"20/11/2010 4:30",22,"20/11/2010 14:00"
2010-11-21,50,11.7,"21/11/2010 4:00",23.2,"21/11/2010 11:30"
2010-11-22,51,13.3,"22/11/2010 2:43",24,"22/11/2010 13:00"
2010-11-23,50,13.8,"23/11/2010 4:30",25.2,"23/11/2010 12:30"
2010-11-24,48,14.3,"24/11/2010 5:00",25.1,"24/11/2010 13:00"
2010-11-25,48,16.1,"25/11/2010 5:00",27.3,"25/11/2010 11:00"
2010-11-26,48,16.3,"26/11/2010 4:30",27.3,"26/11/2010 12:30"
2010-11-27,51,15.8,"27/11/2010 4:30",27.3,"27/11/2010 11:00"
